game_name,id,game_genre,game_launch_date,purchase_date
FIFA 16,dcd105ca0578cc70bf583cc850d1ce42882b60bc,Sports,2015-09-22,2016-05-07
FIFA 17,f0a590423cfc21119196892b0fe962b1af0bdbe4,Sports,2016-09-27,2016-10-07
BATTLEFIELD 1,b888d9606600bd0cf76d577103eedf120ec3ab96,Shooter,2016-10-21,2016-11-20
MADDEN 16,1662b5f631864768d112fe18861010a958c6ef95,Sports,,2015-09-03
FIFA 17,e18199799ba3ee45efa898d8adfa8ad7d724ee40,Sports,2016-09-27,2017-06-05
FIFA 16,55337167fd7b2ae49848b9809ca7ce4a1d3831f2,Sports,2015-09-22,2016-01-26
FIFA 16,7170ea0e323b4757d3703bafffa051b0077db709,Sports,2015-09-22,2015-09-29
UFC 2,604701bc4a41e039bf493cdbd8c8f20c3950a9c6,Fighting,2016-03-09,2017-06-25
BATTLEFIELD 4,c736cbdadc4a0b858a83aa1424db77941fd24d49,Shooter,2013-10-29,2017-07-02
BATTLEFRONT,1721249f2dfeb2415ffe67d892941114cedb8b13,Shooter,2015-11-17,2015-12-13
FIFA 17,bb078d3e14a326ce04f97e428322fa5214a617f6,Sports,2016-09-27,2016-09-30
EA ACCESS,40de9e8bd45ed36e9556152467a1e1913c3be2fd,Other Games/Compilations,,2015-10-29
FIFA 16,0a94cce086d36872c8c9bb05b347ff1220cd41fb,Sports,2015-09-22,2015-10-31
BATTLEFRONT,7575919fee8a9c815725be1f8aa34c54d681b281,Shooter,2015-11-17,2016-01-08
MADDEN 15,15571ee301c6f8ab5b9680a4a618941f0a4dc45a,Sports,,2015-12-26
PLANTS VS ZOMBIES GARDEN WARFARE 2,e7c3868084b6726e2166483a1db0d498120011fe,Shooter,2016-02-23,2016-06-03
UFC 2,48c753bab6c66d923b44387155c33e3ae91082de,Fighting,2016-03-09,2016-07-16
NFS RIVALS (2014),4033483cd66a5674e478e5cfce09cfd7b43de455,Action,,2016-07-18
FIFA 17,d1dea609209d72ddcf8629b51f886b17263b13b2,Sports,2016-09-27,2017-06-26
FIFA 16,c0056ddfa0654ace09b85eef2f580da1888a5108,Sports,2015-09-22,2016-01-21
FIFA 16,0ffc3e966d7247c05bfcd687b9ac08c52b0f9946,Sports,2015-09-22,2015-09-22
DRAGON AGE: INQUISITION,1acf4f938244cb535b27b7d6aaee4dea9cda81fe,Role Playing,,2017-04-04
FIFA 17,2fcd8677ba1032aa0a2daabb78c107019d1b00b1,Sports,2016-09-27,2017-08-16
